,img_id_A,img_id_B,target
0,0626a_num1.png,0639c_num2.png,0
1,1192a_num1.png,1198b_num2.png,0
2,0178c_num4.png,0178c_num5.png,1
3,0076b_num3.png,0076b_num4.png,1
4,0186a_num2.png,0234a_num3.png,0
5,0408b_num2.png,0408c_num3.png,1
6,0557b_num1.png,0571c_num2.png,0
7,0755a_num1.png,0778b_num5.png,0
8,1100a_num2.png,1139b_num2.png,0
9,1271a_num1.png,1287c_num4.png,0
10,0999a_num1.png,1039c_num1.png,0
11,0958b_num2.png,0958c_num1.png,1
12,0827a_num1.png,0837b_num1.png,0
13,1556a_num6.png,1556b_num2.png,1
14,0427a_num1.png,0434a_num2.png,0
15,0259b_num3.png,0259c_num1.png,1
16,0873a_num1.png,0905a_num5.png,0
17,1313a_num1.png,1359a_num1.png,0
18,0458a_num1.png,0460a_num3.png,0
19,0122a_num1.png,0122b_num1.png,1
20,1012a_num1.png,1042b_num3.png,0
21,0677a_num3.png,0677c_num1.png,1
22,1446a_num2.png,1479b_num1.png,0
23,1423b_num4.png,1423c_num2.png,1
24,0383a_num1.png,0441c_num3.png,0
25,1101a_num1.png,1101c_num4.png,1
26,0757a_num1.png,0764b_num2.png,0
27,1257a_num1.png,1289a_num1.png,0
28,1334aa_num1.png,1334cc_num2.png,1
29,0309a_num2.png,0309c_num3.png,1
30,0834a_num1.png,0869a_num2.png,0
31,0955a_num2.png,0955c_num3.png,1
32,1417a_num1.png,1437c_num5.png,0
33,1505b_num1.png,1560b_num4.png,0
34,1012a_num1.png,1013c_num3.png,0
35,1150a_num3.png,1150c_num2.png,1
36,1542b_num1.png,1560c_num6.png,0
37,1354a_num1.png,1404a_num2.png,0
38,1092a_num1.png,1092a_num5.png,1
39,1518b_num4.png,1518c_num5.png,1
40,0344a_num1.png,0371a_num4.png,0
41,0368b_num3.png,0368c_num5.png,1
42,1402a_num1.png,1433c_num3.png,0
43,1249a_num1.png,1290c_num3.png,0
44,1269a_num2.png,1309b_num1.png,0
45,0822a_num1.png,0822c_num2.png,1
46,1408a_num1.png,1452b_num1.png,0
47,0192a_num4.png,0192b_num2.png,1
48,0578a_num1.png,0605b_num1.png,0
49,0427a_num5.png,0427c_num3.png,1
50,0065c_num4.png,0065c_num5.png,1
51,0625a_num1.png,0625c_num1.png,1
52,0562a_num1.png,0573b_num3.png,0
53,0449a_num1.png,0468a_num5.png,0
54,0137a_num1.png,0142b_num3.png,0
55,1365a_num1.png,1374a_num6.png,0
56,0529b_num4.png,0529c_num4.png,1
57,0649b_num1.png,0699c_num4.png,0
58,0394a_num2.png,0417c_num3.png,0
59,0222a_num2.png,0283b_num3.png,0
60,0535a_num1.png,0540aa_num1.png,0
61,1196b_num1.png,1196b_num2.png,1
62,0470a_num1.png,0470c_num1.png,1
63,0778a_num2.png,0778a_num3.png,1
64,0412a_num1.png,0420c_num2.png,0
65,1540c_num1.png,1558b_num3.png,0
66,0141a_num2.png,0147a_num1.png,0
67,1433a_num1.png,1477b_num3.png,0
68,0186a_num2.png,0234c_num1.png,0
69,0431a_num1.png,0476b_num3.png,0
70,0126a_num1.png,0126c_num2.png,1
71,1231a_num1.png,1252c_num4.png,0
72,1117c_num1.png,1117c_num2.png,1
73,0842a_num2.png,0875a_num1.png,0
74,0711a_num3.png,0711a_num5.png,1
75,0210a_num1.png,0233c_num2.png,0
76,0676a_num4.png,0676b_num4.png,1
77,0850a_num1.png,0870c_num2.png,0
78,0678a_num4.png,0678b_num1.png,1
79,0485a_num1.png,0531c_num5.png,0
80,1391a_num1.png,1448a_num6.png,0
81,0738a_num1.png,0776a_num2.png,0
82,0941b_num4.png,0941c_num5.png,1
83,0511b_num2.png,0511c_num2.png,1
84,1126b_num1.png,1155c_num1.png,0
85,0610aa_num1.png,0630a_num1.png,0
86,1392a_num1.png,1424b_num2.png,0
87,0258a_num1.png,0265a_num3.png,0
88,0207b_num2.png,0207c_num4.png,1
89,1042b_num2.png,1042b_num3.png,1
90,0807b_num2.png,0807c_num1.png,1
91,1036c_num1.png,1036c_num3.png,1
92,0713a_num1.png,0756a_num4.png,0
93,0841a_num1.png,0842b_num1.png,0
94,0217c_num2.png,0217d_num5.png,1
95,1128a_num2.png,1131a_num2.png,0
96,1349a_num3.png,1349c_num2.png,1
97,1349a_num1.png,1349b_num4.png,1
98,0574a_num1.png,0593c_num2.png,0
99,1529b_num1.png,1529c_num3.png,1
100,0893a_num1.png,0893a_num2.png,1
101,1045a_num1.png,1098b_num2.png,0
102,1147a_num2.png,1147c_num2.png,1
103,0182a_num1.png,0187b_num2.png,0
104,1042b_num3.png,1042b_num7.png,1
105,0522c_num2.png,0522cc_num1.png,1
106,1112a_num1.png,1115a_num4.png,0
107,0391a_num2.png,0411b_num3.png,0
108,0817a_num4.png,0817b_num2.png,1
109,0142a_num2.png,0142c_num2.png,1
110,1318a_num1.png,1355a_num2.png,0
111,0431a_num4.png,0431c_num4.png,1
112,0192a_num3.png,0192b_num4.png,1
113,0226b_num2.png,0226c_num3.png,1
114,0617a_num1.png,0642b_num2.png,0
115,0167a_num1.png,0178b_num4.png,0
116,0669a_num1.png,0673a_num2.png,0
117,1179a_num2.png,1179c_num2.png,1
118,0773a_num1.png,0791a_num1.png,0
119,0276a_num3.png,0276b_num4.png,1
120,0121aa_num1.png,0121c_num4.png,1
121,0011a_num1.png,0019aa_num2.png,0
122,1209a_num2.png,1209c_num4.png,1
123,0705a_num4.png,0705c_num2.png,1
124,0002a_num2.png,0002b_num1.png,1
125,1253a_num1.png,1266b_num1.png,0
126,0811b_num5.png,0811c_num4.png,1
127,1067a_num5.png,1067b_num2.png,1
128,0245a_num1.png,0245a_num2.png,1
129,1026a_num1.png,1080c_num1.png,0
130,1181a_num1.png,1222a_num1.png,0
131,1231c_num1.png,1231c_num5.png,1
132,0241a_num1.png,0241b_num4.png,1
133,0798a_num5.png,0798c_num1.png,1
134,0775aa_num1.png,0794a_num1.png,0
135,1332a_num1.png,1388c_num1.png,0
136,0857a_num1.png,0869b_num4.png,0
137,1536a_num2.png,1536a_num4.png,1
138,0770a_num2.png,0770a_num4.png,1
139,0309a_num4.png,0309a_num5.png,1
140,0953a_num1.png,0953c_num4.png,1
141,1372b_num1.png,1392a_num1.png,0
142,0889a_num3.png,0889c_num3.png,1
143,1255a_num3.png,1255c_num2.png,1
144,0798c_num2.png,0798c_num4.png,1
145,1008a_num2.png,1008b_num5.png,1
146,0242a_num5.png,0242b_num4.png,1
147,1421a_num6.png,1421c_num2.png,1
148,0470a_num3.png,0470c_num3.png,1
149,0300b_num1.png,0300c_num1.png,1
150,0487a_num1.png,0531b_num1.png,0
151,0683a_num1.png,0707b_num1.png,0
152,1070a_num1.png,1119b_num6.png,0
153,0745b_num1.png,0796c_num3.png,0
154,0917a_num1.png,0965c_num2.png,0
155,0809a_num1.png,0828a_num1.png,0
156,0911a_num1.png,0941b_num4.png,0
157,1429c_num1.png,1429c_num2.png,1
158,1039b_num3.png,1039b_num4.png,1
159,0001a_num1.png,0008c_num1.png,0
160,1253a_num1.png,1271b_num5.png,0
161,0221a_num5.png,0221b_num6.png,1
162,0410c_num1.png,0411a_num5.png,0
